date,value
2014-11-20,5899.39
2014-11-21,5926.07
2014-11-24,5933.71
2014-11-25,5905.33
2014-11-26,5925.39
2014-11-27,5946.69
2014-11-28,5992.82
2014-12-01,5985.92
2014-12-02,5955.55
2014-12-03,5969.49
2014-12-04,5998.3
2014-12-05,5968.84
2014-12-08,5921.09
2014-12-09,5862.83
2014-12-10,5875.64
2014-12-11,5846.02
2014-12-12,5799.93
2014-12-15,5790.2
2014-12-16,5664.38
2014-12-17,5613.11
2014-12-18,5699.26
2014-12-19,5726.11
2014-12-22,5804.21
2014-12-23,5804.05
2014-12-24,5726.19
2014-12-26,5734.67
2014-12-29,5780.89
2014-12-30,5780.44
2014-12-31,5802.59
2015-01-01,5794.49
2015-01-02,5853.25
2015-01-05,5846.66
2015-01-06,5699.21
2015-01-07,5708.73
2015-01-08,5801.02
2015-01-09,5831.99
2015-01-12,5836.72
2015-01-13,5861.95
2015-01-14,5893.55
2015-01-15,6007.16
2015-01-16,6035.17
2015-01-19,6062.07
2015-01-20,6103.48
2015-01-21,6123.34
2015-01-22,6146.4
2015-01-23,6178.4
2015-01-27,6197.79
2015-01-28,6224.46
2015-01-29,6253.73
2015-01-30,6187.4
2015-02-02,6148.73
2015-02-03,6140.62
2015-02-04,6132.14
2015-02-05,6112.8
2015-02-06,6082.35
2015-02-09,6011.54
2015-02-10,6050.0
2015-02-11,6088.62
2015-02-12,6153.73
2015-02-13,6236.38
2015-02-16,6240.93
2015-02-18,6297.57
2015-02-19,6278.38
2015-02-20,6253.37
2015-02-23,6205.32
2015-02-24,6217.46
2015-02-25,6220.37
2015-02-26,6171.11
2015-02-27,6257.62
2015-02-28,6276.87
2015-03-02,6351.2
2015-03-03,6383.39
2015-03-04,6328.6
2015-03-05,6365.23
2015-03-09,6303.2
2015-03-10,6262.56
2015-03-11,6253.75
2015-03-12,6302.12
2015-03-13,6209.69
2015-03-16,6176.78
2015-03-17,6248.34
2015-03-18,6218.79
2015-03-19,6221.16
2015-03-20,6164.02
2015-03-23,6165.46
2015-03-24,6184.68
2015-03-25,6161.87
2015-03-26,6060.93
2015-03-27,6027.3
2015-03-30,6116.57
2015-03-31,6120.66
2015-04-01,6170.42
2015-04-06,6269.23
2015-04-07,6315.12
2015-04-08,6367.65
2015-04-09,6377.85
2015-04-10,6381.02
2015-04-13,6417.68
2015-04-15,6357.25
2015-04-16,6326.92
2015-04-17,6236.66
2015-04-20,6122.17
2015-04-21,6037.6
2015-04-22,6045.05
2015-04-23,6020.2
2015-04-24,5990.39
2015-04-27,5899.94
2015-04-28,5932.38
2015-04-29,5905.91
2015-04-30,5865.86
2015-05-04,6013.6
2015-05-05,6002.57
2015-05-06,5858.47
2015-05-07,5842.74
2015-05-08,5916.53
2015-05-11,5994.92
2015-05-12,5901.6
2015-05-13,5953.0
2015-05-14,5977.49
2015-05-15,6000.24
2015-05-18,6068.68
2015-05-19,6059.24
2015-05-20,6076.66
2015-05-21,6102.54
2015-05-22,6124.01
2015-05-25,6074.62
2015-05-26,6066.03
2015-05-27,6058.49
2015-05-28,6036.75
2015-05-29,6123.87
2015-06-01,6128.63
2015-06-02,6003.35
2015-06-03,5910.09
2015-06-04,5908.65
2015-06-05,5913.74
2015-06-08,5862.92
2015-06-09,5836.21
2015-06-10,5895.92
2015-06-11,5790.08
2015-06-12,5811.36
2015-06-15,5828.68
2015-06-16,5860.69
2015-06-17,5923.19
2015-06-18,5979.71
2015-06-19,6013.51
2015-06-22,6065.05
2015-06-23,6104.2
2015-06-24,6089.53
2015-06-25,6120.27
2015-06-26,6127.63
2015-06-29,6094.08
2015-06-30,6159.49
2015-07-01,6208.35
2015-07-02,6205.13
2015-07-03,6227.2
2015-07-06,6272.02
2015-07-07,6282.62
2015-07-08,6193.21
2015-07-09,6157.16
2015-07-10,6161.32
2015-07-13,6244.7
2015-07-14,6260.47
2015-07-15,6310.15
2015-07-16,6353.21
2015-07-17,6365.79
2015-07-20,6378.46
2015-07-21,6276.17
2015-07-22,6354.77
2015-07-23,6338.39
2015-07-24,6294.53
2015-07-27,6229.03
2015-07-28,6212.99
2015-07-29,6225.95
2015-07-30,6279.82
2015-07-31,6359.94
2015-08-03,6362.56
2015-08-04,6378.19
2015-08-05,6442.55
2015-08-06,6445.35
2015-08-07,6410.98
2015-08-10,6394.89
2015-08-11,6369.92
2015-08-12,6299.49
2015-08-13,6305.73
2015-08-14,6398.49
2015-08-17,6380.09
2015-08-18,6383.86
2015-08-19,6424.48
2015-08-20,6368.75
2015-08-21,6327.59
2015-08-24,5950.66
2015-08-25,5981.59
2015-08-26,5958.39
2015-08-27,6059.22
2015-08-28,6085.81
2015-08-31,6100.18
2015-09-01,5990.64
2015-09-02,5952.13
2015-09-03,6009.85
2015-09-04,5888.89
2015-09-07,5815.83
2015-09-08,5862.59
2015-09-09,5944.83
2015-09-10,5928.35
2015-09-11,5927.41
2015-09-14,5993.64
2015-09-15,5990.02
2015-09-16,6030.05
2015-09-18,6069.16
2015-09-21,6065.63
2015-09-22,5971.97
2015-09-23,5973.51
2015-09-24,6021.34
2015-09-28,6005.08
2015-09-29,6017.71
2015-09-30,6103.36
2015-10-01,6115.6
2015-10-05,6194.88
2015-10-06,6221.88
2015-10-07,6254.05
2015-10-08,6218.41
2015-10-09,6219.92
2015-10-12,6196.72
2015-10-13,6208.99
2015-10-14,6184.9
2015-10-15,6212.98
2015-10-16,6246.11
2015-10-19,6281.73
2015-10-20,6272.32
2015-10-21,6271.48
2015-10-23,6296.47
2015-10-26,6274.93
2015-10-27,6267.47
2015-10-28,6255.26
2015-10-29,6221.43
2015-10-30,6199.64
2015-11-02,6197.25
2015-11-03,6228.06
2015-11-04,6205.75
2015-11-05,6160.46
2015-11-06,6127.44
2015-11-09,6113.26
2015-11-10,6044.71
2015-11-11,6067.86
2015-11-13,6023.75
2015-11-16,6052.97
2015-11-17,6078.07
2015-11-18,6048.7
2015-11-19,6122.8
2015-11-20,6170.44
2015-11-23,6188.1
2015-11-24,6171.44
2015-11-26,6191.73
2015-11-27,6210.6
2015-11-30,6195.72
2015-12-01,6245.13
2015-12-02,6262.39
2015-12-03,6205.52
2015-12-04,6146.08
2015-12-07,6158.77
2015-12-08,6093.21
2015-12-09,6012.19
2015-12-10,6071.75
2015-12-11,6028.51
2015-12-14,6067.64
2015-12-15,6104.32
2015-12-16,6118.75
2015-12-17,6188.1
2015-12-18,6147.07
2015-12-21,6198.37
2015-12-22,6167.69
2015-12-23,6208.99
2015-12-24,6207.41
2015-12-28,6244.52
2015-12-29,6253.89
2015-12-30,6233.0
2015-12-31,6273.38
2016-01-01,6285.34
2016-01-04,6201.57
2016-01-05,6195.31
2016-01-06,6169.6
2016-01-07,6038.01
2016-01-08,6056.92
2016-01-11,6014.8
2016-01-12,5991.34
2016-01-13,5996.07
2016-01-14,5986.28
2016-01-15,5900.56
2016-01-18,5841.63
2016-01-19,5859.86
2016-01-20,5786.05
2016-01-21,5742.48
2016-01-22,5855.58
2016-01-25,5853.91
2016-01-27,5868.62
2016-01-28,5877.09
2016-01-29,5993.36
2016-02-01,5986.11
2016-02-02,5921.48
2016-02-03,5853.73
2016-02-04,5857.04
2016-02-05,5918.75
2016-02-08,5863.97
2016-02-09,5805.43
2016-02-10,5759.26
2016-02-11,5599.52
2016-02-12,5605.77
2016-02-15,5711.06
2016-02-16,5640.33
2016-02-17,5663.82
2016-02-18,5715.17
2016-02-19,5749.62
2016-02-22,5775.17
2016-02-23,5666.97
2016-02-24,5597.15
2016-02-25,5548.81
2016-02-26,5571.11
2016-02-29,5548.29
2016-03-01,5701.55
2016-03-02,5781.17
2016-03-03,5841.63
2016-03-04,5867.54
2016-03-08,5872.22
2016-03-09,5903.0
2016-03-10,5882.21
2016-03-11,5890.67
2016-03-14,5908.08
2016-03-15,5836.35
2016-03-16,5852.22
2016-03-17,5868.19
2016-03-18,5938.67
2016-03-21,5998.98
2016-03-22,6000.43
2016-03-23,5994.79
2016-03-28,5953.33
2016-03-29,5927.38
2016-03-30,6015.63
2016-03-31,6030.22
2016-04-01,6012.83
2016-04-04,6036.03
2016-04-05,5942.9
2016-04-06,5962.82
2016-04-07,5933.07
2016-04-08,5957.59
2016-04-11,6027.57
2016-04-12,6065.56
2016-04-13,6181.99
2016-04-18,6209.76
2016-04-20,6211.3
2016-04-21,6174.58
2016-04-22,6170.54
2016-04-25,6129.97
2016-04-26,6187.1
2016-04-27,6200.52
2016-04-28,6116.98
2016-04-29,6130.19
2016-05-02,6136.86
2016-05-03,6091.17
2016-05-04,6074.65
2016-05-05,6089.01
2016-05-06,6099.74
2016-05-09,6171.66
2016-05-10,6193.11
2016-05-11,6183.42
2016-05-12,6217.48
2016-05-13,6169.23
2016-05-16,6186.28
2016-05-17,6211.55
2016-05-18,6187.13
2016-05-19,6137.47
2016-05-20,6093.23
2016-05-23,6089.84
2016-05-24,6113.63
2016-05-25,6233.29
2016-05-26,6290.22
2016-05-27,6348.17
2016-05-30,6379.92
2016-05-31,6364.25
2016-06-01,6399.04
2016-06-02,6431.24
2016-06-03,6440.06
2016-06-06,6408.52
2016-06-07,6457.05
2016-06-08,6466.27
2016-06-09,6422.42
2016-06-10,6410.97
2016-06-13,6386.87
2016-06-14,6384.05
2016-06-15,6465.97
2016-06-16,6433.39
2016-06-17,6462.16
2016-06-20,6495.0
2016-06-21,6480.64
2016-06-22,6473.71
2016-06-23,6488.66
2016-06-24,6420.51
2016-06-27,6437.2
2016-06-28,6480.3
2016-06-29,6538.87
2016-06-30,6612.44
2016-07-01,6634.14
2016-07-04,6629.85
2016-07-05,6605.2
2016-07-07,6635.95
2016-07-08,6648.48
2016-07-11,6736.52
2016-07-12,6745.42
2016-07-13,6724.14
2016-07-14,6760.04
2016-07-15,6763.48
2016-07-18,6751.03
2016-07-19,6754.34
2016-07-20,6813.55
2016-07-21,6818.46
2016-07-22,6824.71
2016-07-25,6869.56
2016-07-26,6825.12
2016-07-27,6818.65
2016-07-28,6881.52
2016-07-29,6879.34
2016-08-01,6908.95
2016-08-02,6911.21
2016-08-03,6847.78
2016-08-04,6845.33
2016-08-05,6963.88
2016-08-08,7008.57
2016-08-09,6960.51
2016-08-10,6846.44
2016-08-11,6861.74
2016-08-12,6894.23
2016-08-16,6894.64
2016-08-17,6897.0
2016-08-18,6944.17
2016-08-19,6927.53
2016-08-22,6890.4
2016-08-23,6878.89
2016-08-24,6898.03
2016-08-25,6855.47
2016-08-26,6838.92
2016-08-29,6819.06
2016-08-30,6947.9
2016-08-31,6964.44
2016-09-01,6962.32
2016-09-02,6979.63
2016-09-06,7058.28
2016-09-07,7016.67
2016-09-08,7054.98
2016-09-09,6978.82
2016-09-12,6874.82
2016-09-14,6894.65
2016-09-15,6901.2
2016-09-16,6944.37
2016-09-19,6968.29
2016-09-20,6935.09
2016-09-21,6931.61
2016-09-22,6980.37
2016-09-23,6962.64
2016-09-26,6896.72
2016-09-27,6902.28
2016-09-28,6905.54
2016-09-29,6777.73
2016-09-30,6791.57
2016-10-03,6904.68
2016-10-04,6922.72
2016-10-05,6908.91
2016-10-06,6890.54
2016-10-07,6871.19
2016-10-10,6893.4
2016-10-13,6813.5
2016-10-14,6802.83
2016-10-17,6717.98
2016-10-18,6802.25
2016-10-19,6810.31
2016-10-20,6810.46
2016-10-21,6815.17
2016-10-24,6807.05
2016-10-25,6791.64
2016-10-26,6776.64
2016-10-27,6738.4
2016-10-28,6791.42
2016-10-30,6796.35
2016-11-01,6792.45
2016-11-02,6734.97
2016-11-03,6709.5
2016-11-04,6688.32
2016-11-07,6718.77
2016-11-08,6737.05
2016-11-09,6620.23
2016-11-10,6649.84
2016-11-11,6466.27
2016-11-15,6277.63
2016-11-16,6295.4
2016-11-17,6267.28
2016-11-18,6299.47
2016-11-21,6189.47
2016-11-22,6259.79
2016-11-23,6288.86
2016-11-24,6273.64
2016-11-25,6368.21
2016-11-28,6392.85
2016-11-29,6419.56
2016-11-30,6481.15
2016-12-01,6448.21
2016-12-02,6383.87
2016-12-05,6425.76
2016-12-06,6422.75
2016-12-07,6404.92
2016-12-08,6501.06
2016-12-09,6490.67
2016-12-12,6406.21
2016-12-13,6425.93
2016-12-14,6378.21
2016-12-15,6354.7
2016-12-16,6342.32
2016-12-19,6316.04
2016-12-20,6306.01
2016-12-21,6308.03
2016-12-22,6251.0
2016-12-23,6224.79
2016-12-26,6146.76
2016-12-27,6227.29
2016-12-28,6249.02
2016-12-29,6310.17
2016-12-30,6363.88
2017-01-02,6384.91
2017-01-03,6388.1
2017-01-04,6379.95
2017-01-05,6436.3
2017-01-06,6408.8
2017-01-09,6391.99
2017-01-10,6423.68
2017-01-11,6497.15
2017-01-12,6526.41
2017-01-13,6513.9
2017-01-16,6531.4
2017-01-17,6528.06
2017-01-18,6543.21
2017-01-19,6521.99
2017-01-20,6475.44
2017-01-23,6512.32
2017-01-24,6599.39
2017-01-25,6699.14
2017-01-27,6707.12
2017-01-30,6699.98
2017-01-31,6638.9
2017-02-01,6741.3
2017-02-02,6755.41
2017-02-03,6774.59
2017-02-06,6812.78
2017-02-07,6776.34
2017-02-08,6789.08
2017-02-09,6808.89
2017-02-10,6828.62
2017-02-13,6834.26
2017-02-14,6810.47
2017-02-15,6780.39
2017-02-16,6823.22
2017-02-17,6839.11
2017-02-20,6886.59
2017-02-21,6907.5
2017-02-22,6906.07
2017-02-23,6900.69
2017-02-27,6878.85
2017-02-28,6865.43
2017-03-01,6904.25
2017-03-02,6877.45
2017-03-03,6880.96
2017-03-06,6922.32
2017-03-07,6917.66
2017-03-08,6920.91
2017-03-09,6932.77
2017-03-10,6942.36
2017-03-14,7041.12
2017-03-15,7037.14
2017-03-16,7085.52
2017-03-17,7080.74
2017-03-20,7077.61
2017-03-21,7058.64
2017-03-22,7004.7
2017-03-23,7041.17
2017-03-24,7036.76
2017-03-27,6997.64
2017-03-28,7022.32
2017-03-29,7027.47
2017-03-30,7052.9
2017-03-31,7072.47
2017-04-03,7082.53
2017-04-05,7114.49
2017-04-06,7136.45
2017-04-07,7089.4
2017-04-10,7073.36
2017-04-11,7103.16
2017-04-12,7083.55
2017-04-13,7061.14
2017-04-17,7039.77
2017-04-18,7012.14
2017-04-19,7018.24
2017-04-20,7064.13
2017-04-21,7054.54
2017-04-24,7126.05
2017-04-25,7192.08
2017-04-26,7203.75
2017-04-27,7195.78
2017-04-28,7171.33
2017-05-02,7178.77
2017-05-03,7209.68
2017-05-04,7231.96
2017-05-05,7185.62
2017-05-08,7213.72
2017-05-09,7210.34
2017-05-10,7270.4
2017-05-11,7282.54
2017-05-12,7282.79
2017-05-15,7307.19
2017-05-16,7362.37
2017-05-17,7345.64
2017-05-18,7280.46
2017-05-19,7261.82
2017-05-22,7233.84
2017-05-23,7194.57
2017-05-24,7142.31
2017-05-25,7234.85
